sub	learn-uncertainty	t	cond	onset	open_d	door	door_p	tgt_door	tgt_found	x	y
1	2	1	1	6.650	0	0	0.000	9	0	970	967.000
1	2	1	1	6.666	0	0	0.000	9	0	980	968.000
1	2	1	1	6.683	0	0	0.000	9	0	988	968.000
1	2	1	1	6.700	0	0	0.000	9	0	1000	968.000
1	2	1	1	6.716	0	0	0.000	9	0	1008	967.000
1	2	1	1	6.733	0	0	0.000	9	0	1013	966.000
1	2	1	1	6.750	0	0	0.000	9	0	1015	965.000
1	2	1	1	6.766	0	0	0.000	9	0	1020	963.000
1	2	1	1	6.783	0	0	0.000	9	0	1023	960.000
1	2	1	1	6.800	0	0	0.000	9	0	1024	958.000
1	2	1	1	6.816	0	0	0.000	9	0	1027	956.000
1	2	1	1	6.833	0	0	0.000	9	0	1029	955.000
1	2	1	1	6.850	0	0	0.000	9	0	1029	955.000
1	2	1	1	6.866	0	0	0.000	9	0	1029	955.000
1	2	1	1	6.883	0	0	0.000	9	0	1029	955.000
1	2	1	1	6.900	0	0	0.000	9	0	1029	955.000
1	2	1	1	6.916	0	0	0.000	9	0	1029	955.000
1	2	1	1	6.933	0	0	0.000	9	0	1029	955.000
1	2	1	1	6.950	0	0	0.000	9	0	1029	955.000
1	2	1	1	6.966	0	0	0.000	9	0	1029	955.000
1	2	1	1	6.983	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.000	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.016	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.033	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.050	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.066	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.083	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.100	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.116	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.133	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.150	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.166	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.183	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.200	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.216	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.233	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.250	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.266	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.283	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.300	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.316	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.333	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.350	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.366	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.383	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.400	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.416	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.433	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.450	0	0	0.000	9	0	1029	955.000
1	2	1	1	7.466	0	0	0.000	9	0	1030	954.000
1	2	1	1	7.483	0	0	0.000	9	0	1033	951.000
1	2	1	1	7.500	0	0	0.000	9	0	1033	951.000
